N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,Output
138.0,8.6,560.0,7.46,0.62,0.7,5.9,0.24,0.31,0.77,8.71,0.11,0
213.0,7.5,338.0,7.62,0.75,1.06,25.4,0.3,0.86,1.54,2.89,2.29,0
163.0,9.6,718.0,7.59,0.51,1.11,14.3,0.3,0.86,1.57,2.7,2.03,0
157.0,6.8,475.0,7.64,0.58,0.94,26.0,0.34,0.54,1.53,2.65,1.82,0
270.0,9.9,444.0,7.63,0.4,0.86,11.8,0.25,0.76,1.69,2.43,2.26,1
220.0,8.6,444.0,7.43,0.65,0.72,11.7,0.37,0.66,0.9,2.19,1.82,0
220.0,7.2,222.0,7.62,0.43,0.81,7.4,0.34,0.69,1.05,2.0,1.88,0
207.0,7.0,401.0,7.63,0.59,0.69,7.6,0.32,0.68,0.62,2.43,1.68,0
289.0,8.6,560.0,7.58,0.44,0.67,7.3,0.63,0.66,0.94,2.43,1.79,1
138.0,8.1,739.0,7.55,0.33,0.78,9.0,0.69,0.41,1.15,2.75,2.0,0
151.0,8.1,549.0,7.59,0.45,0.97,9.6,0.71,0.38,1.33,2.79,2.41,1
144.0,7.2,306.0,7.53,0.73,0.89,9.2,0.63,0.47,1.03,2.79,2.38,0
138.0,5.3,444.0,7.68,0.6,0.78,9.7,0.73,0.36,1.32,3.32,2.12,2
144.0,8.3,549.0,7.45,0.53,0.81,10.2,0.51,0.56,1.26,2.9,2.29,0
201.0,7.7,676.0,7.39,0.77,0.72,9.7,0.58,0.47,1.02,3.77,2.56,1
182.0,9.2,718.0,7.47,0.34,0.67,10.6,0.77,0.41,1.28,3.04,2.79,0
238.0,7.5,771.0,7.38,0.88,0.75,11.0,0.46,0.38,1.16,2.96,1.32,0
270.0,8.1,655.0,7.45,0.55,0.67,10.2,0.28,0.44,1.26,7.75,2.56,1
213.0,6.1,803.0,7.38,0.78,0.61,10.5,0.3,0.49,0.66,7.74,1.85,0
245.0,8.1,560.0,7.31,0.63,0.78,11.6,0.29,0.43,0.57,7.73,0.74,0
282.0,8.3,454.0,7.43,0.62,0.75,11.0,0.32,0.5,0.81,4.99,2.65,1
213.0,8.3,676.0,7.36,0.51,0.69,23.6,0.28,0.93,1.04,2.17,1.97,0
207.0,9.4,127.0,7.62,0.68,0.75,27.2,0.28,0.72,1.04,2.43,0.94,0
307.0,8.3,11.0,7.49,0.84,0.69,15.8,0.26,0.57,0.73,2.13,2.47,1
207.0,7.2,496.0,7.55,0.61,0.64,26.2,0.24,0.47,1.15,1.99,1.94,0
201.0,5.5,359.0,7.44,0.76,0.78,26.0,0.18,0.83,0.71,2.24,1.91,0
364.0,7.5,507.0,7.63,0.52,0.69,14.6,0.23,1.19,0.39,2.16,2.82,1
220.0,8.3,560.0,7.42,0.63,0.61,15.8,0.19,1.08,0.34,1.77,0.74,0
245.0,8.3,560.0,7.58,0.74,0.83,8.2,0.32,0.96,1.57,2.67,0.59,0
207.0,7.7,676.0,7.41,0.42,1.0,15.0,0.27,0.92,1.43,3.12,1.85,0
276.0,8.3,401.0,7.34,0.53,0.72,14.8,0.28,0.57,1.34,2.15,2.18,1
207.0,5.0,560.0,7.4,0.84,0.67,25.4,0.27,0.46,1.53,2.43,2.12,0
245.0,5.7,465.0,7.29,0.63,0.61,22.4,0.25,0.44,1.24,2.11,0.74,0
169.0,8.1,549.0,8.23,0.58,0.56,21.0,0.2,0.38,1.15,3.01,2.0,1
182.0,5.0,560.0,7.62,0.52,0.47,22.4,0.73,0.46,1.14,2.72,1.97,0
220.0,8.3,760.0,7.48,0.59,0.67,24.0,0.83,0.37,1.99,3.84,0.88,0
138.0,5.7,401.0,7.42,0.72,0.78,26.0,0.37,0.32,1.34,3.77,2.0,1
238.0,8.3,697.0,7.59,0.43,0.83,25.4,0.45,0.43,1.43,2.65,2.29,0
